2025-07-27 15:39:01.190 [main] DEBUG c.e.p.ProtocolServerApplication - Running with Spring Boot v2.7.14, Spring v5.3.29
2025-07-27 15:39:01.192 [main] INFO  c.e.p.ProtocolServerApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-27 15:39:02.505 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2025-07-27 15:39:02.519 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-27 15:39:02.520 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
2025-07-27 15:39:02.627 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-27 15:39:02.628 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1380 ms
2025-07-27 15:39:03.303 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2025-07-27 15:39:03.383 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2025-07-27 15:39:03.392 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2025-07-27 15:39:03.413 [main] INFO  c.e.p.ProtocolServerApplication - Started ProtocolServerApplication in 2.668 seconds (JVM running for 3.09)
2025-07-27 15:39:03.846 [main] INFO  c.example.protocol.server.TcpServer - TCP Server started on port 10003
2025-07-27 15:39:03.848 [main] INFO  c.e.p.ProtocolServerApplication - 物联网协议服务器启动成功
2025-07-27 15:39:03.848 [main] INFO  c.e.p.ProtocolServerApplication - TCP端口: 8080
2025-07-27 15:39:03.848 [main] INFO  c.e.p.ProtocolServerApplication - HTTP端口: 8081
2025-07-27 15:39:03.848 [main] INFO  c.e.p.ProtocolServerApplication - WebSocket端点: ws://localhost:8081/ws/device
2025-07-27 15:39:03.849 [main] INFO  c.e.p.ProtocolServerApplication - API文档: http://localhost:8081/api/doc/info
2025-07-27 15:39:03.849 [main] INFO  c.e.p.ProtocolServerApplication - 健康检查: http://localhost:8081/api/health
2025-07-27 15:40:04.847 [SpringApplicationShutdownHook] INFO  c.example.protocol.server.TcpServer - Shutting down TCP server...
2025-07-27 15:40:04.853 [SpringApplicationShutdownHook] INFO  c.example.protocol.server.TcpServer - TCP server shutdown completed
2025-07-27 15:40:08.389 [main] INFO  c.e.p.ProtocolServerApplication - Starting ProtocolServerApplication using Java 20.0.1 on MartinThinkBook with PID 71208 (D:\Projects\ZJG\CleanRobotsServiceV2\source\protocol-server\target\classes started by mengf in D:\Projects\ZJG\CleanRobotsServiceV2\source\protocol-server)
2025-07-27 15:40:08.391 [main] DEBUG c.e.p.ProtocolServerApplication - Running with Spring Boot v2.7.14, Spring v5.3.29
2025-07-27 15:40:08.391 [main] INFO  c.e.p.ProtocolServerApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-27 15:40:09.738 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2025-07-27 15:40:09.750 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-27 15:40:09.751 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
2025-07-27 15:40:09.904 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-27 15:40:09.905 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1447 ms
2025-07-27 15:40:10.642 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2025-07-27 15:40:10.720 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2025-07-27 15:40:10.730 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2025-07-27 15:40:10.744 [main] INFO  c.e.p.ProtocolServerApplication - Started ProtocolServerApplication in 2.866 seconds (JVM running for 3.311)
2025-07-27 15:40:11.186 [main] INFO  c.example.protocol.server.TcpServer - TCP Server started on port 10003
2025-07-27 15:40:11.189 [main] INFO  c.e.p.ProtocolServerApplication - 物联网协议服务器启动成功
2025-07-27 15:40:11.189 [main] INFO  c.e.p.ProtocolServerApplication - TCP端口: 8080
2025-07-27 15:40:11.190 [main] INFO  c.e.p.ProtocolServerApplication - HTTP端口: 8081
2025-07-27 15:40:11.190 [main] INFO  c.e.p.ProtocolServerApplication - WebSocket端点: ws://localhost:8081/ws/device
2025-07-27 15:40:11.190 [main] INFO  c.e.p.ProtocolServerApplication - API文档: http://localhost:8081/api/doc/info
2025-07-27 15:40:11.190 [main] INFO  c.e.p.ProtocolServerApplication - 健康检查: http://localhost:8081/api/health
2025-07-27 15:41:14.563 [nioEventLoopGroup-3-1] INFO  c.e.p.s.manager.ConnectionManager - Connection added: 14c7a20d (/127.0.0.1:23194)
2025-07-27 15:41:25.999 [nioEventLoopGroup-3-1] INFO  c.e.p.s.manager.ConnectionManager - Connection removed: 14c7a20d (/127.0.0.1:23194)
2025-07-27 16:12:47.087 [SpringApplicationShutdownHook] INFO  c.example.protocol.server.TcpServer - Shutting down TCP server...
2025-07-27 16:12:47.115 [SpringApplicationShutdownHook] INFO  c.example.protocol.server.TcpServer - TCP server shutdown completed
